"","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"background",-61.4166666666667,-23.9166666666667,23.0831451416016,13.5545415878296,54.5394020080566,405.278747558594,34.8605003356934,10.0077495574951,24.8527507781982,26.7323760986328,17.9559574127197,27.69700050354,17.8477077484131,662,112,9,68.58154296875,313,38,298,56
"background",-70.5833333333333,-40.0833333333333,8.98011493682861,13.7255620956421,51.0224990844727,510.628662109375,24.6862506866455,-2.21475005149841,26.9010009765625,2.82854175567627,15.412917137146,15.412917137146,2.82854175567627,455,81,14,53.6933555603027,199,49,49,199
"background",27.75,2.58333333333334,23.6523952484131,10.8081254959106,79.5226745605469,68.3807067871094,31.1049995422363,17.5137500762939,13.5912494659424,23.0457496643066,24.0522918701172,24.5564575195312,22.8491249084473,2033,235,60,39.7477149963379,676,197,459,628
"background",141.583333333333,-26.75,22.9494781494141,13.5967502593994,42.9899368286133,657.663330078125,38.7157516479492,7.08799982070923,31.6277523040771,29.9851245880127,19.577917098999,30.6231670379639,14.3737497329712,225,42,8,53.2849769592285,103,27,95,35
"background",147.583333333333,-79.5833333333333,-35.0485420227051,6.37849998474121,21.7314281463623,894.019775390625,-16.7744998931885,-46.1259994506836,29.3514995574951,-42.1640853881836,-22.3769588470459,-22.3769588470459,-42.3329162597656,34,18,0,137.064697265625,21,1,1,3
"background",38.4166666666667,35.4166666666667,18.6651668548584,14.5609579086304,39.2555351257324,894.899780273438,38.4052505493164,1.3125,37.0927505493164,7.49166631698608,29.3531246185303,29.3531246185303,7.49166631698608,156,31,0,78.3053359985352,78,1,1,78
"background",-100.916666666667,-74.0833333333333,-13.8581352233887,5.9269380569458,26.247745513916,601.648010253906,-1.39199995994568,-23.972749710083,22.5807495117188,-15.0581254959106,-5.98783302307129,-5.51520824432373,-20.11887550354,886,116,7,45.7860679626465,324,80,84,277
"background",137.416666666667,-17.9166666666667,26.0022506713867,14.1276664733887,54.6524810791016,407.34716796875,37.4044990539551,11.5544996261597,25.8499984741211,29.8485832214355,21.8237495422363,30.0948333740234,20.2332496643066,668,161,1,110.818962097168,436,9,328,10
"background",34.9166666666667,69.0833333333333,-0.294947922229767,5.83814573287964,20.8139114379883,780.279663085938,15.058500289917,-12.9907503128052,28.0492515563965,9.53183364868164,-6.58291673660278,9.79387474060059,-9.03091716766357,513,65,25,34.1694984436035,181,81,177,87
"background",91.75,50.0833333333333,-3.29570841789246,12.5468330383301,21.3870735168457,1756.23803710938,24.0590000152588,-34.6064987182617,58.6654968261719,16.2274169921875,-24.0154590606689,16.2274169921875,-26.6057510375977,170,48,2,98.5541687011719,112,7,112,10
